Source,Target,Type,id,label,timeset,weight
海水,原子弹,Undirected,97079,,,2.0
石油,电子,Undirected,97080,,,9.0
金,腐蚀,Undirected,97083,,,4.0
升华,回流,Undirected,97084,,,1.0
水,化学,Undirected,97095,,,5.0
铁,能量,Undirected,97096,,,3.0
精度,液体,Undirected,97122,,,1.0
合成,含量,Undirected,97124,,,3.0
取样,化工厂,Undirected,97127,,,1.0
合成,原子弹,Undirected,97129,,,1.0
分子,粉尘,Undirected,97132,,,1.0
空气质量,碳,Undirected,97141,,,8.0
腐蚀,营养,Undirected,97151,,,2.0
汽油,气体,Undirected,97167,,,4.0
气体,能量,Undirected,97170,,,1.0
核反应堆,化学,Undirected,97184,,,1.0
气体,水,Undirected,97189,,,5.0
二氧化碳,营养,Undirected,97199,,,1.0
水,氰化物,Undirected,97206,,,9.0
精度,固体,Undirected,97212,,,4.0
铁,化工厂,Undirected,97215,,,1.0
玻璃,海水,Undirected,97216,,,3.0
发酵,电子,Undirected,97220,,,4.0
分解,营养,Undirected,97223,,,1.0
成分,沉淀,Undirected,97232,,,1.0
玻璃,大气污染,Undirected,97235,,,5.0
水泥,重金属,Undirected,97249,,,2.0
水,沉淀,Undirected,97256,,,6.0
碳,核能,Undirected,97277,,,5.0
电池,族,Undirected,97282,,,1.0
分子,干燥,Undirected,97301,,,1.0
石油,化学物质,Undirected,97318,,,1.0
水,油气,Undirected,97320,,,2.0
燃料,分解,Undirected,97334,,,2.0
海水,发酵,Undirected,97336,,,1.0
化学物质,水,Undirected,97338,,,1.0
合成,成分,Undirected,97339,,,4.0
燃烧,气体,Undirected,97351,,,17.0
电子,煤,Undirected,97353,,,1.0
天然气,燃烧,Undirected,97373,,,6.0
化工厂,石油,Undirected,97375,,,3.0
钻石,铜,Undirected,97377,,,1.0
二氧化碳,电子,Undirected,97380,,,3.0
分解,油气,Undirected,97386,,,1.0
水泥,发酵,Undirected,97387,,,1.0
石油,铜,Undirected,97395,,,2.0
能量,海水,Undirected,97401,,,1.0
化工厂,柴油,Undirected,97402,,,1.0
太阳能,铜,Undirected,97414,,,2.0
金,温室气体,Undirected,97428,,,2.0
大气污染,氮氧化物,Undirected,97432,,,4.0
焚烧,PM2.5,Undirected,97435,,,3.0
分解,空气质量,Undirected,97436,,,2.0
核反应堆,能源,Undirected,97437,,,2.0
玻璃,发酵,Undirected,97439,,,2.0
碳,发酵,Undirected,97443,,,1.0
天然,空气质量,Undirected,97448,,,1.0
过滤,矿泉水,Undirected,97455,,,1.0
燃烧,原子弹,Undirected,97466,,,3.0
升华,营养,Undirected,97470,,,4.0
水泥,乙醇,Undirected,97471,,,5.0
化学物质,能源,Undirected,97481,,,2.0
天然气,盐,Undirected,97484,,,1.0
海水,爆炸物,Undirected,97485,,,1.0
海洛因,乙醇,Undirected,97490,,,1.0
钢铁,天然,Undirected,97493,,,1.0
